activityID;startTime;submissionTime;link;fecha_creacion
2024-06-13T00:24:00-CME-001;2024-06-13T00:24Z;2024-06-13T19:39Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31489/-1;2024-06-20
2024-06-13T00:36:00-CME-001;2024-06-13T00:36Z;2024-06-13T19:35Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31487/-1;2024-06-20
2024-06-13T01:36:00-CME-001;2024-06-13T01:36Z;2024-06-13T19:25Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31483/-1;2024-06-20
2024-06-13T03:38:00-CME-001;2024-06-13T03:38Z;2024-06-13T19:20Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31481/-1;2024-06-20
2024-06-13T04:53:00-CME-001;2024-06-13T04:53Z;2024-06-13T18:58Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31478/-1;2024-06-20
2024-06-13T06:36:00-CME-001;2024-06-13T06:36Z;2024-06-13T19:31Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31485/-1;2024-06-20
2024-06-13T15:24:00-CME-001;2024-06-13T15:24Z;2024-06-13T18:41Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31472/-1;2024-06-20
2024-06-13T18:36:00-CME-001;2024-06-13T18:36Z;2024-06-14T13:48Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31506/-1;2024-06-20
2024-06-14T01:36:00-CME-001;2024-06-14T01:36Z;2024-06-14T15:14Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31509/-1;2024-06-20
2024-06-15T01:25:00-CME-001;2024-06-15T01:25Z;2024-06-15T14:15Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31521/-1;2024-06-20
2024-06-15T05:48:00-CME-001;2024-06-15T05:48Z;2024-06-15T13:30Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31516/-1;2024-06-20
2024-06-15T07:12:00-CME-001;2024-06-15T07:12Z;2024-06-15T14:10Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31519/-1;2024-06-20
2024-06-15T10:48:00-CME-001;2024-06-15T10:48Z;2024-06-15T16:50Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31525/-1;2024-06-20
2024-06-15T11:48:00-CME-001;2024-06-15T11:48Z;2024-06-15T16:09Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31523/-1;2024-06-20
2024-06-15T15:12:00-CME-001;2024-06-15T15:12Z;2024-06-15T19:17Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31528/-1;2024-06-20
2024-06-16T06:48:00-CME-001;2024-06-16T06:48Z;2024-06-16T19:54Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31533/-1;2024-06-20
2024-06-16T16:48:00-CME-001;2024-06-16T16:48Z;2024-06-16T20:37Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31535/-1;2024-06-20
2024-06-16T17:36:00-CME-001;2024-06-16T17:36Z;2024-06-16T21:14Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31537/-1;2024-06-20
2024-06-17T08:24:00-CME-001;2024-06-17T08:24Z;2024-06-17T13:37Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31541/-1;2024-06-20
2024-06-17T08:48:00-CME-001;2024-06-17T08:48Z;2024-06-17T19:50Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31557/-1;2024-06-20
2024-06-17T09:12:00-CME-001;2024-06-17T09:12Z;2024-06-17T18:07Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31549/-1;2024-06-20
2024-06-17T11:00:00-CME-001;2024-06-17T11:00Z;2024-06-17T17:36Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31546/-1;2024-06-20
2024-06-17T11:12:00-CME-001;2024-06-17T11:12Z;2024-06-17T19:31Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31555/-1;2024-06-20
2024-06-17T11:24:00-CME-001;2024-06-17T11:24Z;2024-06-17T18:46Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31553/-1;2024-06-20
2024-06-17T20:21:00-CME-001;2024-06-17T20:21Z;2024-06-18T16:13Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31569/-1;2024-06-20
2024-06-17T20:57:00-CME-001;2024-06-17T20:57Z;2024-06-18T16:41Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31575/-1;2024-06-20
2024-06-17T23:48:00-CME-001;2024-06-17T23:48Z;2024-06-18T15:44Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31572/-1;2024-06-20
2024-06-18T04:48:00-CME-001;2024-06-18T04:48Z;2024-06-18T17:30Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31577/-1;2024-06-20
2024-06-18T11:24:00-CME-001;2024-06-18T11:24Z;2024-06-18T18:26Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31579/-1;2024-06-20
2024-06-18T12:24:00-CME-001;2024-06-18T12:24Z;2024-06-18T19:11Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31581/-1;2024-06-20
2024-06-18T17:24:00-CME-001;2024-06-18T17:24Z;2024-06-19T22:23Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31587/-1;2024-06-20
2024-06-18T21:36:00-CME-001;2024-06-18T21:36Z;2024-06-19T21:56Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31599/-1;2024-06-20
2024-06-19T06:48:00-CME-001;2024-06-19T06:48Z;2024-06-19T21:25Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31593/-1;2024-06-20
2024-06-19T07:00:00-CME-001;2024-06-19T07:00Z;2024-06-19T21:27Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31595/-1;2024-06-20
2024-06-19T16:48:00-CME-001;2024-06-19T16:48Z;2024-06-20T13:15Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31602/-1;2024-06-20
2024-06-20T05:36:00-CME-001;2024-06-20T05:36Z;2024-06-20T13:19Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31604/-1;2024-06-20
2024-06-18T18:24:00-CME-001;2024-06-18T18:24Z;2024-06-20T17:15Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31607/-1;2024-06-20
2024-06-19T02:48:00-CME-001;2024-06-19T02:48Z;2024-06-20T17:28Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31609/-1;2024-06-20
2024-06-20T09:24:00-CME-001;2024-06-20T09:24Z;2024-06-20T19:31Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31611/-1;2024-06-20
2024-06-20T13:25:00-CME-001;2024-06-20T13:25Z;2024-06-20T19:32Z;https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/31612/-1;2024-06-20
